                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.5013,                 1.4805,                 1.7772,                0.79928,                0.65188,                0.76493,                0.48289,                 1.3612,                 1.1654,                 1.7159,             0.00029723,             0.00029723,             0.00029723
                     86,                  1.508,                   1.46,                 1.7627,                0.77457,                0.67651,                0.76157,                 0.4712,                 1.3811,                 1.2259,                  1.722,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.4845,                 1.4267,                 1.7764,                0.75797,                0.67353,                0.76723,                0.49764,                  1.324,                 1.1566,                 1.6713,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.5179,                 1.4588,                 1.8027,                0.78393,                0.67257,                0.77395,                0.48417,                 1.3702,                 1.1729,                  1.709,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.5106,                 1.4913,                 1.7763,                0.79137,                 0.6635,                0.77468,                0.49279,                 1.3387,                 1.1334,                 1.6837,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.4707,                 1.4586,                 1.7571,                0.78616,                0.67946,                0.78267,                0.50135,                 1.3339,                 1.1243,                 1.6749,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.4753,                 1.4027,                 1.7671,                0.70975,                0.66843,                0.74975,                 0.4687,                 1.4016,                 1.2111,                 1.7284,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.4512,                 1.3476,                  1.765,                0.70451,                0.67641,                0.73986,                 0.4624,                 1.3821,                 1.2425,                 1.7308,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.4491,                 1.3282,                 1.7491,                 0.7916,                0.69495,                0.78958,                0.50401,                 1.3311,                 1.1184,                 1.6722,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.4524,                 1.2852,                 1.7703,                0.78602,                0.70076,                0.79116,                0.51067,                 1.3264,                 1.1255,                 1.6727,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.4265,                 1.2964,                 1.7438,                0.82827,                0.70045,                0.79983,                0.52042,                 1.3005,                  1.086,                 1.6495,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.3998,                 1.2601,                 1.7495,                0.83511,                0.69193,                0.80387,                0.52255,                 1.2997,                 1.0804,                 1.6452,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.3772,                 1.2462,                 1.7227,                0.80393,                0.71831,                 0.8023,                0.52433,                 1.2874,                 1.0664,                 1.6369,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.3875,                 1.2391,                 1.6982,                0.82445,                0.70164,                0.80467,                0.52614,                 1.2771,                 1.0609,                 1.6292,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.3963,                 1.2381,                 1.7247,                0.85331,                0.69382,                0.80579,                0.52954,                 1.2744,                 1.0678,                 1.6264,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.3868,                 1.2062,                 1.6858,                0.83958,                0.69395,                0.80938,                0.53073,                 1.2773,                 1.0497,                 1.6251,             4.9677e-05,             4.9677e-05,             4.9677e-05
